Rhombix Import Template,Version 1.0,5/17/2011  12:01:15 ,"Exports screens of choice from database for informational purposes or exchange with other Rhombix users. If report contains one screen then it can be exported into Excel format and imported directly from the saved spreadsheet. If it contains more than one screen then, data must be copied into correct positions in the template.",User Comment:,"Data Positions:     Screen name value: B7;
            ",User comment: B9; Custom or shared value: B8; Grid - Start Conc. Values: A12 - E12,,,,,,,,,
New Screen Description,Screen Name:,Helsinki  random II,Custom or Shared,custom,text indicator,User Comment for Screen:,http://www.biocenter.helsinki.fi/bi/xray/automation/,text indicator,Chemical Distribution,Grid,Chemical,Distribution Scope,Plate or (Grid) Coordinate,Start Conc.,Step Value
A01:H12,"Ammonium Sulphate (3.00M), Salt",Well,A01,2.000,,,,,,,,,,,
A01:H12,"Citric Acid (1.00M pH 3.50), Buffer",Well,A01,0.100,,,,,,,,,,,
A01:H12,"Ammonium Sulphate (3.00M), Salt",Well,A02,2.000,,,,,,,,,,,
A01:H12,"Sodium Acetate (1.00M pH 4.50), Buffer",Well,A02,0.100,,,,,,,,,,,
A01:H12,"Ammonium Sulphate (3.00M), Precipitant",Well,A03,2.000,,,,,,,,,,,
A01:H12,"Bis-Tris (1.00M pH 5.50), Buffer",Well,A03,0.100,,,,,,,,,,,
A01:H12,"Ammonium Sulphate (3.00M), Precipitant",Well,A04,2.000,,,,,,,,,,,
A01:H12,"Bis-Tris (1.00M pH 6.50), Buffer",Well,A04,0.100,,,,,,,,,,,
A01:H12,"Ammonium Sulphate (3.00M), Precipitant",Well,A05,2.000,,,,,,,,,,,
A01:H12,"HEPES (1.00M pH 7.50), Buffer",Well,A05,0.100,,,,,,,,,,,
A01:H12,"Ammonium Sulphate (3.00M), Precipitant",Well,A06,2.000,,,,,,,,,,,
A01:H12,"TRIS-HCl (1.00M pH 8.50), Buffer",Well,A06,0.100,,,,,,,,,,,
A01:H12,"Citric Acid (1.00M pH 3.50), Buffer",Well,A07,0.100,,,,,,,,,,,
A01:H12,"Sodium Chloride (5.00M), Precipitant",Well,A07,3.000,,,,,,,,,,,
A01:H12,"Sodium Acetate (1.00M pH 4.50), Buffer",Well,A08,0.100,,,,,,,,,,,
A01:H12,"Sodium Chloride (5.00M), Precipitant",Well,A08,3.000,,,,,,,,,,,
A01:H12,"Bis-Tris (1.00M pH 5.50), Buffer",Well,A09,0.100,,,,,,,,,,,
A01:H12,"Sodium Chloride (5.00M), Precipitant",Well,A09,3.000,,,,,,,,,,,
A01:H12,"Bis-Tris (1.00M pH 6.50), Buffer",Well,A10,0.100,,,,,,,,,,,
A01:H12,"Sodium Chloride (5.00M), Precipitant",Well,A10,3.000,,,,,,,,,,,
A01:H12,"HEPES (1.00M pH 7.50), Buffer",Well,A11,0.100,,,,,,,,,,,
A01:H12,"Sodium Chloride (5.00M), Precipitant",Well,A11,3.000,,,,,,,,,,,
A01:H12,"Sodium Chloride (5.00M), Precipitant",Well,A12,3.000,,,,,,,,,,,
A01:H12,"TRIS-HCl (1.00M pH 8.50), Buffer",Well,A12,0.100,,,,,,,,,,,
A01:H12,"Bis-Tris (1.00M pH 5.50), Buffer",Well,B01,0.100,,,,,,,,,,,
A01:H12,"Magnesium Formate (1.00M), Precipitant",Well,B01,0.300,,,,,,,,,,,
A01:H12,"Bis-Tris (1.00M pH 6.50), Buffer",Well,B02,0.100,,,,,,,,,,,
A01:H12,"Magnesium Formate (1.00M), Precipitant",Well,B02,0.500,,,,,,,,,,,
A01:H12,"HEPES (1.00M pH 7.50), Buffer",Well,B03,0.100,,,,,,,,,,,
A01:H12,"Magnesium Formate (1.00M), Precipitant",Well,B03,0.500,,,,,,,,,,,
A01:H12,"Magnesium Formate (1.00M), Precipitant",Well,B04,0.300,,,,,,,,,,,
A01:H12,"TRIS-HCl (1.00M pH 8.50), Buffer",Well,B04,0.100,,,,,,,,,,,
A01:H12,"Sodium Potassium Phosphate (Buffered) (1.40M pH 5.60), Precipitant",Well,B05,1.400,,,,,,,,,,,
A01:H12,"Sodium Potassium Phosphate (Buffered) (1.40M pH 6.90), Precipitant",Well,B06,1.400,,,,,,,,,,,
A01:H12,"Sodium Potassium Phosphate (Buffered) (1.40M pH 8.20), Precipitant",Well,B07,1.400,,,,,,,,,,,
A01:H12,"HEPES (1.00M pH 7.50), Buffer",Well,B08,0.100,,,,,,,,,,,
A01:H12,"tri-sodium citrate dihydrate (unbuffered) (1.60M), Precipitant",Well,B08,1.400,,,,,,,,,,,
A01:H12,"tri-ammonium citrate (2.00M pH 7.00), Precipitant",Well,B09,1.800,,,,,,,,,,,
A01:H12,"succinic acid (1.00M pH 7.00), Buffer",Well,B10,0.800,,,,,,,,,,,
A01:H12,"Malic Acid DL (2.50M pH 7.00), Precipitant",Well,B11,2.100,,,,,,,,,,,
A01:H12,"Sodium Acetate (4.00M pH 7.00), Precipitant",Well,B12,2.800,,,,,,,,,,,
A01:H12,"Sodium Formate buffered (4.00M pH 7.00), Precipitant",Well,C01,3.500,,,,,,,,,,,
A01:H12,"Ammonium tartrate buffer (4.00M pH 7.00), Precipitant",Well,C02,1.100,,,,,,,,,,,
A01:H12,"Sodium Malonate (3.00M pH 7.00), Precipitant",Well,C03,2.400,,,,,,,,,,,
A01:H12,"Tacsimate (100.00% pH 7.00), Precipitant",Well,C04,35.000,,,,,,,,,,,
A01:H12,"Tacsimate (100.00% pH 7.00), Precipitant",Well,C05,60.000,,,,,,,,,,,
A01:H12,"Ammonium Sulphate (3.00M), Precipitant",Well,C06,1.500,,,,,,,,,,,
A01:H12,"Bis-Tris (1.00M pH 6.50), Buffer",Well,C06,0.100,,,,,,,,,,,
A01:H12,"Sodium Chloride (5.00M), Salt",Well,C06,0.100,,,,,,,,,,,
A01:H12,"PEG MME 5000 (50.00%), Precipitant",Well,C07,0.500,,,,,,,,,,,
A01:H12,"Potassium Sodium Tartrate tetrahydrate (1.00M), Salt",Well,C07,0.800,,,,,,,,,,,
A01:H12,"TRIS-HCl (1.00M pH 8.50), Buffer",Well,C07,0.100,,,,,,,,,,,
A01:H12,"Ammonium Sulphate (3.00M), Salt",Well,C08,1.000,,,,,,,,,,,
