Chemical,Synonyms,Category,FORMULA,CAS,Mass (Daltons),ComponentType,molType,Is Soluble,Solubility,Is_HAZARD,CODE,Risk No.,Safety phrases,"Flammable,Toxic/IrritantCorrosive",RefSampleName,SampleCategory,
ACES,N-[2-acetamido]-2-aminoethanesulfonic acid; N-(2-acetamido)-2-aminoethanesulfonic acid; N-(carbamoylmethyl)-2-aminoethanesulfonic acid; N-(carbamoylmethyl)taurine,Buffering agent,H2NCOCH2NHCH2CH2SO3H,7365-82-4,182.2,MolComp,other,Y,,,,,,,ACES,"Buffer,Buffering Agent,Chemical/Biochemical"
acetic acid,glacial acetic acid; ethanoic acid,"pH conjugate,Buffering agent",CH3COOH,64-19-7,60.05298,MolComp,other,Y,,Y,2,"R10,R35","S26,S36/37/39,S45",C,Acetic acid,"Buffering Agent,Chemical/Biochemical"
acetone,methyl cyanide; ACS,Solvent,CH3COCH3,67-64-1,58.08067,MolComp,other,Y,,Y,3,R11,"S23,S26,S33,S9","F,Xi",Acetone,Solvent
acetonitrile,,Solvent,CH3CN,75-05-8,41.05291,MolComp,other,Y,,Y,3,"R11,R23/24/25","S16,S27,S45","F,Xn",Acetonitrile,Solvent
N-(2-acetamido)iminodiacetic acid,ADA; N-(carbamoylmethyl)iminodiacetic acid,"pH conjugate,Buffering agent",H2NCOCH2N(CH2CO2H)2,26239-55-4,190.15,MolComp,other,Y,,,1,,,,N-(2-Acetamido)iminodiacetic acid,"Buffer,Buffering Agent,Chemical/Biochemical"
acridine orange : hemi (zinc chloride),"3,6-bis(Dimethylamino) acridine monohydrochloride compound with zinc chloride; Euchrysine 3RX",StainsAndDyes,C17H20N3Cl 0.5(ZnCl2),10127-02-3,369.96,MolComp,other,Y,,Y,2,R20/21/22,"S22,S36/37",Xn,Acridine orange : hemi (zinc chloride),Stains and Dyes
acrylamide,BIS,Organic,C3H5NO,79-06-1,71.08,MolComp,other,Y,,Y,3,"R45,R46,R20/21,R25, R36/38,R43,R48/23/24/25,R62","S53, S45","T,R45",Acrylamide,Electrophoresis
"N,N'-(1,2-dihydroxyethylene)bis-acrylamide",,Organic,C8H12N2O4,868-63-3,200.19,MolComp,other,Y,,Y,,"R20/21/22,R36/37/38","S26,S36",Xn,"N,N'-(1,2-Dihydroxyethylene)bis-acrylamide",Electrophoresis
adenosine,,Nucleotide,C10H13N5O4,58-61-7,267.24,MolComp,other,Y,,,1,,,,Adenosine,"Nucleotide,Chemical/Biochemical"
adenosine 5'-triphosphate disodium salt,ATP; ATP-2Na,"Additive,Nucleotide",C10H14N5Na2O13P3.xH2O,987-65-5,551.14,MolComp,other,Y,,Y,,,S24/25,,Adenosine 5'-triphosphate disodium salt,"Chemical/Biochemical,Nucleotide"
adonitol,adonite; ribitol,Additive,C5H12O5,488-81-3,152.15,MolComp,other,Y,,,,,,,Adonitol,Chemical/Biochemical
L-alanine,,Amino acid,C3H7NO2,56-41-7,89.09,MolComp,other,Y,,,,,,,L-Alanine,Chemical/Biochemical
albumin bovine,Bovine albumin; BSA; Cohn Fraction V,Additive,,9048-46-8,66000,MolComp,other,Y,,,1,,,,Albumin bovine,Chemical/Biochemical
aluminium chloride,AlCl3,Additive,AlCl3,7446-70-0,133.34,MolComp,other,Y,,,,,,,Aluminium chloride,Chemical/Biochemical
4-(2-amino ethyl) benzenesulfonyl fluoride HCl,AEBSF,Inhibitor,C8H10NO2SF.HCl,30827-99-7,239.5,MolComp,other,Y,,,2,R34,"S22,S24/25,",,4-(2-Amino ethyl) benzenesulfonyl fluoride HCl,"Inhibitor,Chemical/Biochemical"
6-aminocaproic acid,6-aminohexanoic acid; e-aminocaproic acid,"Inhibitor,Additive",NH2(CH2)5COOH,60-32-2,131.17,MolComp,other,Y,,Y,2,R36/37/38,"S26,S36",Xi,6-Aminocaproic acid,"Inhibitor,Chemical/Biochemical"
"2-amino-2-methyl-1,3-propanediol",AMPD; ammediol,Buffering agent,(HOCH2)2C(NH2)CH3,115-69-5,105.14,MolComp,other,Y,,Y,2,R36/37/38,"S26,S36",Xi,"2-Amino-2-methyl-1,3-propanediol","Buffer,Buffering Agent,Chemical/Biochemical"
4-amino-m-cresol,4-amino-3-methylphenol; 2-amino-5-hydroxytoluene; 4-hydroxy-2-methylaniline,Oxidising agent,H2NC6H3(CH3)OH,2835-99-6,123.15,MolComp,other,Y,,Y,2,"R22,R36/37/38","S26,S37/39",Xn,4-Amino-m-cresol,Chemical/Biochemical
ammonium acetate,,"Salt,Precipitant,Additive",CH3COONH4,631-61-8,77.08,MolComp,other,Y,,,,,S24/25,,Ammonium acetate,Chemical/Biochemical
ammonium bicarbonate,ammonium hydrogen carbonate,Salt,NH4HCO3,1066-33-7,79.06,MolComp,other,Y,,Y,2,"R22,R36/37/38","S26,S36/37/39,S45",Xn,Ammonium bicarbonate,Chemical/Biochemical
ammonium bromide,,"Salt,Additive",NH4Br,12124-97-9,97.94,MolComp,other,Y,,,,,"S22,S24/25",,Ammonium bromide,Chemical/Biochemical
ammonium chloride,Salmiac,"Salt,Precipitant,Additive",NH4Cl,12125-02-9,53.49,MolComp,other,Y,,Y,2,"R22,R36",S22,Xn,Ammonium chloride,Chemical/Biochemical
