"organismName","ncbiTaxonomyId"
"Sulfolobus solfataricus P2",273057
"Pseudomonas syringae pv. phaseolicola",319
"Sphingomonas paucimobilis",13689
"Bacteroides fragilis",817
"Streptomyces coelicolor",1902
"Escherichia coli",562
"Bordetella bronchiseptica",518
"Sulfolobus islandicus rudivirus 1 variant XX",282066
"Pectobacterium chrysanthemi",556
"Bacillus anthracis",1392
"Geobacter sulfurreducens PCA",243231
"Staphylococcus epidermidis",1282
"Sulfolobus solfataricus",2287
"Streptomyces cattleya",29303
"Arabidopsis thaliana",3702
"Caenorhabditis elegans",6239
"Danio rerio",7955
"Dictyostelium discoideum",44689
"Drosophila melanogaster",7227
"Homo sapiens",9606
"Mus musculus",10090
"Mycoplasma pneumoniae",2104
"Mycobacterium tuberculosis H37Rv",83332
"Oryza sativa",4530
"Plasmodium falciparum",5833
"Pongo pygmaeus",9600
"Pseudomonas aeruginosa",287
"Rattus norvegicus",10116
"Saccharomyces cerevisiae",4932
"Salmonella typhimurium LT2",99287
"Schizosaccharomyces pombe",4896
"Staphylococcus aureus",1280
"Thermotoga maritima",2336
"Xenopus laevis",8355
"Zea mays",4577
"Bacillus subtilis",1423
"Nematostella vectensis",45351
"Neisseria gonorrhoeae", 485
