name,details,category,expTypes,catNum,supplier,dpURL
Fetal Bovine Serum,,Culture media,Expression / Culture,10091-148,Invitrogen/Life Technologies,http://products.invitrogen.com/ivgn/product/10091148
KOD DNA Polymerase,Formerly KOD HiFi DNA Polymerase -includes buffers & dNTPs,Enzyme -polymerase,PCR,71085,Novagen,http://www.merckbiosciences.co.uk/product/71085
KOD Hot Start DNA Polymerase,includes buffers & dNTPs,Enzyme -polymerase,PCR,71086,Novagen,http://www.merckbiosciences.co.uk/product/71086
KOD XL DNA Polymerase,includes buffers & dNTPs,Enzyme -polymerase,PCR,71087,Novagen,http://www.merckbiosciences.co.uk/product/71087
LIC qualfied T4 Polymerase,,Enzyme -polymerase,LIC polymerase reaction,70099,Novagen,http://www.emdbiosciences.com/product/70099
Taq Polymerase,,Enzyme -polymerase,PCR,M0373,New England Biolabs (UK) Ltd,http://www.neb.com/nebecomm/products_Intl/productM0273.asp
VentR DNA Polymerase,,Enzyme -polymerase,PCR,M0254,New England Biolabs (UK) Ltd,http://www.neb.com/nebecomm/products_Intl/productM0254.asp
Vent (exo-) DNA Polymerase,,Enzyme -polymerase,PCR,M0257,New England Biolabs (UK) Ltd,http://www.neb.com/nebecomm/products_Intl/productM0257.asp
Deep VentR DNA Polymerase,,Enzyme -polymerase,PCR,M0258,New England Biolabs (UK) Ltd,http://www.neb.com/nebecomm/products_Intl/productM0258.asp
Pfu Polymerase,,Enzyme -polymerase,PCR,M7741,Promega,http://www.promega.com/tbs/9pim210/9pim210.html
T4 DNA Ligase,,Enzyme -ligase,Ligation,M1801,Promega,http://www.promega.com/tbs/9pim774/9pim774.html
Pfu Polymerase,,Enzyme -polymerase,PCR,600136,Stratagene,http://search.stratagene.com/?index=19012&lastq=&doc0=0&sortsel=rel&opt=ANY&query=600136
Pfu Turbo Polymerase,,Enzyme -polymerase,PCR,600250,Stratagene,http://search.stratagene.com/?index=19012&lastq=&doc0=0&sortsel=rel&opt=ANY&query=600250
Pfu Turbo Cx Polymerase,,Enzyme -polymerase,PCR,600410,Stratagene,http://search.stratagene.com/?index=19012&lastq=&doc0=0&sortsel=rel&opt=ANY&query=600410
Pfu Ultra,,Enzyme -polymerase,PCR,600380,Stratagene,http://search.stratagene.com/?index=19012&lastq=&doc0=0&sortsel=rel&opt=ANY&query=600380
BIO-X-ACT Short Mix,,Enzyme -polymerase,PCR,BIO-25025,Bioline Ltd,http://www.bioline.com/h_prod_detail.asp?user_prodname=BIO%2DX%2DACT%99+Short+Mix
BseRI,,Enzyme -restriction,LIC vector preparation,R0581S,New England Biolabs (UK) Ltd,http://www.neb.uk.com/frameset.asp?searchType=products&yider=BseRI&submit.x=0&submit.y=0
,,,,,,
10x PCR buffer,,Buffer,PCR,,,
NEBuffer 2,,Buffer,LIC vector preparation,R0581S,New England Biolabs (UK) Ltd,http://www.neb.uk.com/frameset.asp?searchType=products&yider=BseRI&submit.x=0&submit.y=0
KOD Reaction Buffer 1,included in KOD HiFi Kit,Buffer,PCR,71085,Novagen,http://www.merckbiosciences.co.uk/product/71085
KOD Reaction Buffer 2,included in KOD HiFi Kit,Buffer,PCR,71085,Novagen,http://www.merckbiosciences.co.uk/product/71085
KOD Hot Start Buffer,included in KOD Hot Start Kit,Buffer,PCR,71086,Novagen,http://www.merckbiosciences.co.uk/product/71086
