organisationType,name,address1,address2,address3,address4,city,postalCode,country,phoneNumber,faxNumber,emailAddress,url
Supplier,Bioline Ltd,16 The Egde Business Centre,Humber Road,,,London,NW2 6EW,UK,0208 8305300,0208 4522822,info@bioline.com,http://www.bioline.com/n_uk.htm
Supplier,Invitrogen/Life Technologies,Inchinnan Business Park,3 Fountain Drive,,,Paisley,PA4 9RF,Scotland,0141 814 6100,0141 814 6260,euroinfo@invitrogen.com,http://www.invitrogen.com/
Supplier,Molecular Dimensions,Unit 4,Northfield Business Park,Northfield Road,Cambridgeshire,Soham,CB7 5UE,UK,01353 722177,01353 722119,enquiries@moleculardimensions.com,http://www.moleculardimensions.com/uk
Supplier,New England Biolabs (UK) Ltd,73 Knowl Piece,Wilbury Way,Hetrts,,Hitchin,SG4 0TY,UK,0800 318486,0800 435682,info@uk.neb.com,http://www.neb.uk.com/
Supplier,Novagen,MERCK Biosciences Ltd,Boulevard Industrial Park,Padge Road,Beeston,Nottingham, ND9 2JR,UK,0800 622935,0115 943 0951,customer.service@merckbiosciences.co.uk,http://www.merckbiosciences.co.uk/html/NVG/home.html
Supplier,Promega,Delta House,Chilworth Science Park,,,Southampton,SO16 7NS,UK,0800 378994,0800 181037,ukcustserve@promega.com,www.promega.com/uk/
Supplier,Qbiogene,Wellington House ,East Road,Cambridgeshire,,Cambridge,CB1 1BH,UK,0800 328 8401,0800 085 3090,ukorders@qbiogene.com,http://www.qbiogene.com
Supplier,Qiagen Ltd,Qiagen House,Fleming Way,West Sussex,,Crawley,RH10 9NQ,UK,01293 422911,1293422922,CustomerService-uk@qiagen.com,http://www1.qiagen.com/
Supplier,Stratagene,Gebouw California,Hogehilweg 15,Zuidoost,,Amsterdam,1101 CB,The Netherlands,0800 9173282,0800 9173283,orders.europe@stratagene.com,http://www.stratagene.com
Supplier,Agar Scientific,66A Cambridge Road,,,,Stansted,CM24 8DA,UK,01279 813519,01279 815106,websales@agarscientific.com,http://www.agarscientific.com/
Supplier,Anatrace Inc.,434 West Dussel Drive ,,,,Maumee,OH 43537,USA,1 419 891 3030,1 419 891 3037,info@anatrace.com,http://www.anatrace.com/
Supplier,"Avanti Polar Lipids, Inc",700 Industrial Park Drive,,,,Alabaster,AL 35007,USA,1 205 663-2494,1 205 663-00756,orders@avantilipids.com,http://www.avantilipids.com
Supplier,Bachem (UK) Ltd,Delph Court,Sherdley Business Park Industrial Estate,Sullivans Way,,St. Helens,WA9 5GL,UK,01744 61 21 08,01744 73 00 64,,http://www.bachem.com/
Supplier,Bio-Rad Laboratories Ltd,Bio-Rad House,Maxted Road,Hertfordshire,,Hemel Hempstead,HP2 7DX,UK,0800 181134,020 8328 2550,uk.lsg.marketing@bio-rad.com,http://www.bio-rad.com
Supplier,Calbiochem,MERCK Biosciences Ltd,Boulevard Industrial Park,Padge Road,Beeston,Nottingham, ND9 2JR,UK,0800 622935,0115 943 0951,customer.service@merckbiosciences.co.uk,http://www.merckbiosciences.co.uk/html/CBC/home.html
Supplier,Fisher Scientific UK Ltd,Bishop Meadow Road,,,,Loughborough,LE11 5RG,UK,01509 231166,01509 231893,sales@fisher.co.uk,http://www.fisher.co.uk/index.htm
Supplier,GE Healthcare UK Limited,Amersham Place,,Buckinghamshire,,Little Chalfont,HP7 9NA,UK,0870 606 1921,01494 544350,ordersgb@ge.com,http://www5.gelifesciences.com/aptrix/upp01077.nsf/content/uk_homepage
Supplier,Glycon Biochemicals,ZGZ,Zapfholzweg 1,,,Luckenwalde,D-14943,Germany,49 3371  681171,49 3371  681170,info@glycon.de,http://www.glycon.de/
Supplier,Hampton research Corp.,34 Journey,California,,,Aliso Viejo,CA 92656-3317,USA,1 949 425 1321,1 949 425 1611,info@hrmail.com,http://www.hamptonresearch.com/
Supplier,Jena Bioscience GmbH,Loebstedter Strasse 7,,,,Jena,D-07749,Germany,49 3641 464952,49 3641 464991,info@jenabioscience.com,http://www.jenabioscience.com
Supplier,MERCK Biosciences Ltd,Boulevard Industrial Park,Padge Road,Beeston,,Nottingham, ND9 2JR,UK,0800 622935,0115 943 0951,customer.service@merckbiosciences.co.uk,http://www.merckbiosciences.co.uk/home.asp
Supplier,Molecular Probes,Invitrogen Ltd,Inchinnan Business Park,3 Fountain Drive,,Paisley,PA4 9RF,UK,1 541 335 0485,1 541 335 0202,euroinfo@invitrogen.com,http://www.probes.com/
Supplier,Pfaltz & Bauer,172 E. Aurora Street,,,,Waterbury,CT 06708,USA,1 203 574 0075,203 574 3181,sales@pfaltzandbauer.com,http://www.pfaltzandbauer.com/
Supplier,Pierce,Perbio Science UK Ltd,Unit 9 Atley Way,North Nelson Industrial Estate,Northumberland,Cramlington,NE231WA,UK,0800 252 185,0800 085 8772,uk.info@perbio.com,http://www.piercenet.com/
Supplier,Rathburn Chemicals Ltd,6 Caberston Road,,,,Walkerburn,EH43 6AU,UK,01896 870 651,01896 870 633,info@rathburn.co.uk,http://www.rathburn.co.uk/
Supplier,Roche Products Ltd,40 Broadwater Road,P.O.Box 8,Hertfordshire,,Welwyn Garden City,AL7 3AY,UK,01707 366000,01707 338297,,http://www.rocheuk.com
Supplier,Sigma-Aldrich Company Ltd,Fancy Road,Dorset,,,Poole,BH12 4QH,UK,0800 717181,0800 378785,ukcustsv@europe.sial.com,http://www.sigmaaldrich.com/
Supplier,Wako,Nissanstrasse 2,,,,Neuss,D-41468,Germany,49 2131 3110,49 2131 311100,biochem@wako-chemicals.de,http://www.wako-chemicals.de/framebio.htm
Supplier,Operon Biotechnologies GmbH,BioCampus Cologne,Nattermannallee 1,,,Cologne,50829,Germany,49 221 170 90 270,,oligo-eu@operon.com,http://www.operon.com
Supplier,MWG Biotech,90 Long Acre,Covent Garden,,,London,WC2E 9RZ,UK,0800 032 313 5,,support@mwgdna.com,http://www.mwg-biotech.com
Supplier,Clontech,1290 Terra Bella Ave.,Mountain View,,,,CA 94043,USA,800 662 2566,800 424 1350,orders@clontech.com,http://www.clontech.com
Supplier,ActiveMotif,104 Avenue Franklin Roosevelt - Box 25,B-1330 Rixensar,,,,,Belgium,0800/169 31 47,32 (0)2 653 0050,euro-orders@activemotif.com,http://www.activemotif.com
Supplier,Agencourt Bioscience Corporation,500 Cummings Center,Suite 2450,Beverly ,,,MA 1915,USA,800-361-7780,978-867-2601,websales@agencourt.com,http://www.agencourt.com
Supplier,ATCC,LGC Standards,Queens Road,Middlesex,,Teddington,TW11 0LY,UK,+44 (0)20 8943 8480,+44 (0)20 8943 7554,uksales@lgcstandards.com,http://www.lgcstandards-atcc.org/Home/tabid/477/Default.aspx
Supplier,Takara Bio Europe,2 Avenue du President Kennedy,,,,Saint-Germain-en-Laye,F-78100,France,+33 (0)1 39 04 68 80,+33 (0)1 39 04 68 70,web@takara-bio.eu,http://www.takarabioeurope.com/
Supplier,GenScript,120 Centennial Ave,,,,Piscataway,NJ 08854,USA,1-732-885-9188,1-732-210-0262,info@genscript.com,http://www.genscript.com/index.html
